subcategory,handle,title,current_productType,tags
"Intimate Massagers","osuga-waterproof-rechargeable-tremble-teasing-foreplay-stimulator-by-luvu-brands","Osuga Waterproof / Rechargeable Tremble Intimate Massager","Health & Wellness","final_sale;intimate;intimate_collection;no-returns;no_returns;pfs:label-Final Sale;smarttag_collection_new_arrivals;valentines"
"Intimate Massagers","osuga-ridge","Osuga Ridge","Health & Wellness","final_sale;intimate_collection;intimate_massage;luvu;massage_collection:Intimate;no-returns;no_returns;valentines"
"Intimate Massagers","osuga-rechargeable-waterproof-flow-flexible-triple-stimulator-by-luvu-brands","Osuga Rechargeable / Waterproof Flow Flexible Triple Intimate Massager","Health & Wellness","final_sale;intimate;intimate_collection;intimate_massage;massage_collection:Intimate;no-returns;no_returns;valentines"
"Intimate Massagers","osuga-osurging-thruster-waterproof-rechargeable-curved-rabbit","Osuga Osurging Thruster Waterproof / Rechargeable Curved Rabbit","Pet Supplies","intimate;intimate_collection;smarttag_collection_new_arrivals;smarttag_promo_eligible;smarttag_regular_price"
"Intimate Massagers","scioness-sucking-and-licking-clitoral-stimulator","Scioness - Intimate Massager","Health & Wellness","intimate;intimate_massage;massage_collection:Intimate;smarttag_collection_new_arrivals;smarttag_promo_eligible;smarttag_regular_price;valentines"
"Intimate Massagers","soraya-beads","Soraya Beads Massager","Health & Wellness","adult;all;BF24;CM24;free_ground_promo;gifts_for_her;intimate;intimate_massage"
"Intimate Massagers","terri-app-controlled-kinky-finger-tapping-rabbit-vibrator","Terri APP-Controlled Finger Tapping Rabbit Intimate Massager","Pet Supplies","intimate;intimate_massage;massage_collection:Intimate;smarttag_collection_new_arrivals;smarttag_promo_eligible;smarttag_regular_price;valentines"
"Intimate Massagers","tiani-harmony-app-connected-couples-vibrator","Tiani Harmony App-Connected Couples Intimate Massager","Health & Wellness","app;app-connected;couples;final_sale;intimate;intimate_collection;intimate_massage;massage_collection"
"Intimate Massagers","trill-wearable-single-ball-dual-vibrator","Trill Wearable Single Ball Dual Intimate Massager","Health & Wellness","intimate;intimate_massage;massage_collection:Intimate;smarttag_collection_new_arrivals;smarttag_promo_eligible;smarttag_regular_price;valentines"
"Intimate Massagers","trilux-kinky-finger-rabbit-vibrator-with-anal-beads","Trilux Finger Rabbit Intimate Massager","Pet Supplies","intimate;intimate_massage;massage_collection:Intimate;smarttag_collection_new_arrivals;smarttag_promo_eligible;smarttag_regular_price;valentines"
"Lubricants & Care","lelo-f1l-personal-moisturizer","Lelo F1L Personal Moisturizer","Health & Wellness","category_new;final_sale;intimate;intimate_massage;new;valentines;vendor_Lelo"
"Lubricants & Care","lelo-feminine-moisturizer","Lelo Feminine Moisturizer","Health & Wellness","aloe intimate;category_new;female ph balance balanced;intimate;intimate_massage;new;valentines;vendor_Lelo"
"Lubricants & Care","lelo-personal-moisturizer-150ml","Lelo Personal Moisturizer - 150mL","Health & Wellness","Astroglid;category_new;e KY;intimate;intimate_massage;new;valentines;vendor_Lelo"
"Condoms","hex-original-condoms","Lelo HEX Original Condoms","Health & Wellness","all;final_sale;free_ground_promo;intimate;intimate_massage;valentines;vendor_Lelo"
"Condoms","hex-respect-xl-condoms","Lelo HEX Respect XL Condoms","Health & Wellness","all;final_sale;free_ground_promo;intimate;intimate_massage;valentines;vendor_Lelo"
"Other","aira-app-controlled-inflatable-kegal-ball","Aira-APP-Controlled Inflatable Kegal Ball","Home & Kitchen","intimate;intimate_massage;massage_collection:Intimate;smarttag_collection_new_arrivals;smarttag_promo_eligible;smarttag_regular_price;valentines"
"Other","anello-app-controlled-vibrating-double-cock-ring-with-clitoral-stimulator","Anello-App-Controlled Vibrating Double Intimate Ring","Sports & Outdoors","intimate;intimate_massage;massage_collection:Intimate;smarttag_collection_new_arrivals;smarttag_promo_eligible;smarttag_regular_price;valentines"
"Other","f1s-v2x","Lelo F1S V2x Console","Health & Wellness","adult;all;free_ground_promo;gifts_for_him;intimate;intimate_massage;new;personal massage"
"Other","hula-beads","Lelo Hula Beads","Health & Wellness","all;final_sale;free_ground_promo;gifts_for_him;intimate;intimate_massage;valentines;vendor_Lelo"
"Other","lelo-kaya-originals-purple","Lelo Kaya Originals","Health & Wellness","all;final_sale;intimate;intimate_massage;new;vendor_Lelo;vendor_new;wellness"
"Other","lelo-lifeguard-originals-purple","Lelo Lifeguard Originals","Health & Wellness","all;intimate;intimate_massage;new;valentines;vendor_Lelo;vendor_new;wellness"
"Other","lelo-mahana-originals-purple","Lelo Mahana Originals","Health & Wellness","all;intimate;intimate_massage;new;valentines;vendor_Lelo;vendor_new;wellness"
"Other","lelo-moka-originals-purple","Lelo Moka Originals","Health & Wellness","all;intimate;intimate_massage;new;valentines;vendor_Lelo;vendor_new;wellness"
"Other","tor-3-couples-ring","Lelo Tor 3 Couples Ring","Health & Wellness","adult;all;black_friday;category_new;free_ground_promo;gifts_for_her;intimate"
"Other","lelo-surfer-originals-purple","Lelo Surfer Originals","Health & Wellness","all;final_sale;intimate;intimate_massage;new;vendor_Lelo;vendor_new;wellness"
"Other","liberator-aria-flip-chaise-18-inch-wide-convertible-chair-and-bed-bench-by-luvu-brands","Liberator Aria Flip Chaise 18 Inch Wide - Convertible Chair and Bed Bench","Beauty & Grooming","final_sale;furniture;intimate;intimate_collection;no-returns;no_returns;pillows;valentines"
"Other","liberator-jaz-original-sensual-positioning-pillow-1","Liberator Jaz Original Sensual Positioning Pillow","Health & Wellness","final_sale;intimate;intimate_collection;no-returns;no_returns;pfs:label-Final Sale;pillows;valentines"
"Other","liberator-heart-wedge-sensual-positioning-pillow-1","Liberator Heart Wedge Sensual Positioning Pillow","Health & Wellness","adult;best_sellers;black_friday;gift_guide_all;home;intimate;pillows;valentines"
"Other","switch-lilac","Switch Lilac","Home & Kitchen","all;intimate;intimate_massage;new;valentines;vendor_Lelo;vendor_new;wellness"
"Other","switch-soft-pink-soft-pink","Switch Soft Pink","Home & Kitchen","all;intimate;intimate_massage;new;valentines;vendor_Lelo;vendor_new;wellness"
"Other","switch-aqua","Switch Aqua","Home & Kitchen","all;intimate;intimate_massage;new;valentines;vendor_Lelo;vendor_new;wellness"
