"product_title","handle","status","launch_tag","workstream","resolution_class","variant_count","quote_rows","blank_canada_quotes","blank_us_quotes","decision","next_action","audit_date"
"Compact Bicycle Bell","compact-bicycle-bell","ACTIVE","yes","D2_US_PRICE_PASSES_MARKET_BLOCKED","BLOCKED_MANAGED_MARKETS","6","6","0","0","US_PRICE_AND_SHIPPING_PASS_MARKET_ACTIVATION_BLOCKED","Resolve the Managed Markets/storefront availability blocker, then verify live US product visibility and checkout delivery.","2026-07-26"
"Long-Handle Bottle Brush","long-handle-silicone-bottle-brush-cleaning-brush-kitchen-cleaning-cup-brush-thermos-glass-brush-cleaning-tools","ACTIVE","yes","D2_US_PRICE_PASSES_MARKET_BLOCKED","BLOCKED_MANAGED_MARKETS","2","2","0","0","US_PRICE_AND_SHIPPING_PASS_MARKET_ACTIVATION_BLOCKED","Resolve the Managed Markets/storefront availability blocker, then verify live US product visibility and checkout delivery.","2026-07-26"
"Everyday Polarized Sunglasses","nd-dimming-glasses-polarized-sunglasses-men-women-round-retro-punk-driving-eyeglasses-outdoor-shades-uv400-adjustable-eyewear","ACTIVE","yes","D2_US_PRICE_PASSES_MARKET_BLOCKED","BLOCKED_MANAGED_MARKETS","3","3","0","0","US_PRICE_AND_SHIPPING_PASS_MARKET_ACTIVATION_BLOCKED","Resolve the Managed Markets/storefront availability blocker, then verify live US product visibility and checkout delivery.","2026-07-26"
"Quick-Dry Training Shorts","running-shorts-summer-gym-sportswear-men-jogging-outdoor-sports-shorts-fitness-man-quick-dry-breathable-pants-male-clothing","ACTIVE","yes","D2_US_PRICE_PASSES_MARKET_BLOCKED","BLOCKED_MANAGED_MARKETS","54","54","0","0","US_PRICE_AND_SHIPPING_PASS_MARKET_ACTIVATION_BLOCKED","Resolve the Managed Markets/storefront availability blocker, then verify live US product visibility and checkout delivery.","2026-07-26"
"Breezy Everyday Pants","ice-silk-mens-pants-2025-summer-new-black-gray-thin-business-casual-pants-outdoor-elastic-breathable-straight-leg-sweatpants","ACTIVE","yes","D2_US_PRICE_PASSES_MARKET_BLOCKED","BLOCKED_MANAGED_MARKETS","28","28","0","0","US_PRICE_AND_SHIPPING_PASS_MARKET_ACTIVATION_BLOCKED","Resolve the Managed Markets/storefront availability blocker, then verify live US product visibility and checkout delivery.","2026-07-26"
"Men's High-Neck Knit Sweater","2026-new-mens-high-neck-sweater-solid-color-pullover-knitted-warm-casual-turtleneck-sweatwear-woolen-mens-winter-outdoor-tops","ACTIVE","yes","D2_US_PRICE_PASSES_MARKET_BLOCKED","BLOCKED_MANAGED_MARKETS","54","54","0","0","US_PRICE_AND_SHIPPING_PASS_MARKET_ACTIVATION_BLOCKED","Resolve the Managed Markets/storefront availability blocker, then verify live US product visibility and checkout delivery.","2026-07-26"
"Everyday Printed Joggers","2024-mens-print-pants-autumn-winter-new-in-mens-clothing-trousers-sport-jogging-fitness-running-trousers-harajuku-streetwear","ACTIVE","yes","D2_US_PRICE_PASSES_MARKET_BLOCKED","BLOCKED_MANAGED_MARKETS","18","18","0","0","US_PRICE_AND_SHIPPING_PASS_MARKET_ACTIVATION_BLOCKED","Resolve the Managed Markets/storefront availability blocker, then verify live US product visibility and checkout delivery.","2026-07-26"
"Long-Sleeve Performance Tee","men-bodybuilding-sport-t-shirt-quick-dry-running-shirt-long-sleeve-compression-top-gym-t-shirt-men-fitness-tight-rashgard","ACTIVE","yes","D2_US_PRICE_PASSES_MARKET_BLOCKED","BLOCKED_MANAGED_MARKETS","35","35","0","0","US_PRICE_AND_SHIPPING_PASS_MARKET_ACTIVATION_BLOCKED","Resolve the Managed Markets/storefront availability blocker, then verify live US product visibility and checkout delivery.","2026-07-26"
"Quartz Watch, Bracelet & Necklace Set","3pcs-set-men-business-watches-casual-leather-band-analog-males-quartz-watch-necklace-bracelet-set","DRAFT","no","C5_DRAFT_US_READY_MARKET_BLOCKED","BLOCKED_MANAGED_MARKETS","5","5","0","0","DRAFT_US_PRICE_CONTENT_READY_MARKET_BLOCKED","Keep Draft until the Managed Markets US checkout blocker is resolved; then verify live US-only visibility and delivery before activation.","2026-07-26"
"Stainless-Steel Quartz Watch & Bracelet","1-2pcs-men-business-watches-fashion-mens-steel-band-quartz-watch-with-bracelet-box-not-included","DRAFT","no","C5_DRAFT_US_READY_MARKET_BLOCKED","BLOCKED_MANAGED_MARKETS","4","4","0","0","DRAFT_US_PRICE_CONTENT_READY_MARKET_BLOCKED","Keep Draft until the Managed Markets US checkout blocker is resolved; then verify live US-only visibility and delivery before activation.","2026-07-26"
"Digital Watch & Jewellery Gift Set","6-piece-set-of-fashion-electronic-watch-necklace-earrings-ring-set-for-teenagers-boys-and-girls-the-best-choice-for-frien-watch-for-women-women-watches","DRAFT","no","C5_DRAFT_US_READY_MARKET_BLOCKED","BLOCKED_MANAGED_MARKETS","4","4","0","0","DRAFT_US_PRICE_CONTENT_READY_MARKET_BLOCKED","Keep Draft until the Managed Markets US checkout blocker is resolved; then verify live US-only visibility and delivery before activation.","2026-07-26"
"New Girl Dresses Princess Costume Kids Mermaid Cosplay Costume Kids Carnival Birthday Party Prom Costume Party Dresses For girls","new-girl-dresses-princess-costume-kids-mermaid-cosplay-costume-kids-carnival-birthday-party-prom-costume-party-dresses-for-girls","DRAFT","no","C1_DRAFT_REVIEW_BATCH","OPEN_DESTINATION_QUOTES","20","20","20","20","DRAFT_QUOTE_AND_CONTENT_REVIEW","Quote Canada and US; verify textile composition, sizing, flammability/labeling evidence, and remove ambiguous cosplay claims before activation.","2026-07-26"
"Windproof Infant Stroller Gloves Children's Outdoor Sports Mittens Cartoon Printed Hands Warmer Scooter Accessory for Winter","windproof-infant-stroller-gloves-childrens-outdoor-sports-mittens-cartoon-printed-hands-warmer-scooter-accessory-for-winter","DRAFT","no","C1_DRAFT_REVIEW_BATCH","OPEN_DESTINATION_QUOTES","4","4","4","4","DRAFT_QUOTE_AND_CONTENT_REVIEW","Quote Canada and US; verify material, sizing, attachment design, warnings, and textile labeling before activation.","2026-07-26"
"300/280/200/100Pcs Washer Copper Sealing Solid Gasket Washer Sump Plug Oil For Boat Crush Flat Seal Ring Tool","300-280-200-100pcs-washer-copper-sealing-solid-gasket-washer-sump-plug-oil-for-boat-crush-flat-seal-ring-tool","DRAFT","no","C1_DRAFT_REVIEW_BATCH","OPEN_DESTINATION_QUOTES","4","4","4","4","DRAFT_QUOTE_AND_CONTENT_REVIEW","Quote Canada and US, verify material/dimensions and fitment copy, then apply the normal margin gate.","2026-07-26"
"Thermal Underwear Tops Men Winter Clothes Thermal Shirt Autumn Men's Winter Tights High Neck Thin Slim Fit Long Sleeve T-shirt","thermal-underwear-tops-men-winter-clothes-thermal-shirt-autumn-mens-winter-tights-high-neck-thin-slim-fit-long-sleeve-t-shirt","DRAFT","no","C1_DRAFT_REVIEW_BATCH","OPEN_DESTINATION_QUOTES","42","42","42","42","DRAFT_QUOTE_AND_CONTENT_REVIEW","Quote Canada and US; before activation verify fiber content, size chart, care, origin, textile labeling, and remove unsupported thermal-performance wording.","2026-07-26"
"Summer Men's Shorts Cool Sportswear Running Sport Shorts Casual Bottoms Gym Fitness Training Jogging Short Pants Men Black Gray","summer-mens-shorts-cool-sportswear-running-sport-shorts-casual-bottoms-gym-fitness-training-jogging-short-pants-men-black-gray","DRAFT","no","C1_DRAFT_REVIEW_BATCH","OPEN_DESTINATION_QUOTES","72","72","72","72","DRAFT_QUOTE_AND_CONTENT_REVIEW","Quote Canada and US; before activation verify fiber content, size chart, care, origin, textile labeling, and remove unsupported cooling/performance claims.","2026-07-26"
"Summer Spring Candy Color Kids Pantyhose Ballet Dance Tights for Girls Stocking Children Velvet Solid White Pantyhose","summer-spring-candy-color-kids-pantyhose-ballet-dance-tights-for-girls-stocking-children-velvet-solid-white-pantyhose","DRAFT","no","C1_DRAFT_REVIEW_BATCH","OPEN_DESTINATION_QUOTES","39","39","39","39","DRAFT_QUOTE_AND_CONTENT_REVIEW","Quote Canada and US; before activation verify fiber content, sizing, care, origin, and applicable children's textile labeling.","2026-07-26"
"Kids Toddler Foot Measure Gauge Shoes Size Measuring Ruler Tool Baby Boy Girl Children's Foot Length Measuring Ruler Fittings","kids-toddler-foot-measure-gauge-shoes-size-measuring-ruler-tool-baby-boy-girl-childrens-foot-length-measuring-ruler-fittings","DRAFT","no","C1_DRAFT_REVIEW_BATCH","OPEN_DESTINATION_QUOTES","5","5","5","5","DRAFT_QUOTE_AND_CONTENT_REVIEW","Quote Canada and US, verify measurement scale/accuracy and age-appropriate copy, then apply the normal margin gate.","2026-07-26"
"No-Drill Shower Shelf","no-drill-shower-shelf","DRAFT","no","H4_DRAFT_CANADA_FAIL_EXCLUDED","RESOLVED_ECONOMICS_EXCLUDED","12","12","0","12","DRAFT_CANADA_QUOTE_FAIL_KEEP_EXCLUDED","Keep excluded; replace supplier or reprice before spending time on US quotes or activation.","2026-07-26"
"Outdoor Cycling Sunglasses","scvcn-new-outdoor-cycling-sunglasses-men-road-driving-bike-glasses-sports-mountain-climbing-women-bicycle-cycling-uv400-goggles","DRAFT","no","H4_DRAFT_CANADA_FAIL_EXCLUDED","RESOLVED_ECONOMICS_EXCLUDED","30","30","0","30","DRAFT_CANADA_QUOTE_FAIL_KEEP_EXCLUDED","Keep excluded; replace supplier or reprice before spending time on US quotes or activation.","2026-07-26"
"Magnetic Hair Clip","1-2pcs-magnetic-hair-clip-invisible-strong-hold-2-in-1-design-for-fine-and-thick-hair-styling-accessory-practical-gift-for-women","DRAFT","no","H4_DRAFT_CANADA_FAIL_EXCLUDED","RESOLVED_ECONOMICS_EXCLUDED","5","5","0","5","DRAFT_CANADA_QUOTE_FAIL_KEEP_EXCLUDED","Keep excluded; replace supplier or reprice before spending time on US quotes or activation.","2026-07-26"
"Compact Manicure Set","compact-manicure-set","DRAFT","no","H4_DRAFT_CANADA_FAIL_EXCLUDED","RESOLVED_ECONOMICS_EXCLUDED","7","7","0","7","DRAFT_CANADA_QUOTE_FAIL_KEEP_EXCLUDED","Keep excluded; replace supplier or reprice before spending time on US quotes or activation.","2026-07-26"
"Adjustable Raised Pet Bowl Set","pet-supplies-cat-bowls-water-bowls-dog-bowls-tip-over-resistant-pet-bowls-height-adjustable","DRAFT","no","H4_DRAFT_CANADA_FAIL_EXCLUDED","RESOLVED_ECONOMICS_EXCLUDED","4","4","0","4","DRAFT_CANADA_QUOTE_FAIL_KEEP_EXCLUDED","Keep excluded; replace supplier or reprice before spending time on US quotes or activation.","2026-07-26"
"Everyday Pullover Hoodie","mens-casual-sports-hoodie-spring-autumn-fashion-solid-color-long-sleeved-pullover-with-arm-pocket-and-pull-rope-plus-size","DRAFT","no","H3_PRICING_DEFINED_QUOTE_PENDING","OPEN_DESTINATION_QUOTES","48","48","48","48","PRICING_FLOOR_DEFINED_QUOTE_PENDING","Keep excluded; apply/approve the pricing actions, then obtain exact Canada and US DSers quotes before activation.","2026-07-26"
"Everyday 100% Cotton T-Shirt","100-pure-cotton-t-shirt-with-round-neck-shoulder-design-for-both-men-women-summer-solid-color-short-sleeved-casual-loose-fit","DRAFT","no","H3_PRICING_DEFINED_QUOTE_PENDING","OPEN_DESTINATION_QUOTES","18","18","18","18","PRICING_FLOOR_DEFINED_QUOTE_PENDING","Keep excluded; apply/approve the pricing actions, then obtain exact Canada and US DSers quotes before activation.","2026-07-26"
"Multi-Compartment Desk Organizer","multi-compartment-desk-organizer","DRAFT","no","H2_CONFIRMED_UNMAPPED","BLOCKED_SUPPLIER_MAPPING","1","1","1","1","CONFIRMED_UNMAPPED_KEEP_EXCLUDED","Keep Draft and excluded. Archive if unwanted, or deliberately import/map a verified supplier before quoting.","2026-07-26"
"Jade Roller Face Massager","jade-roller-face-massager","DRAFT","no","H2_CONFIRMED_UNMAPPED","BLOCKED_SUPPLIER_MAPPING","1","1","1","1","CONFIRMED_UNMAPPED_KEEP_EXCLUDED","Keep Draft and excluded. Archive if unwanted, or deliberately import/map a verified supplier before quoting.","2026-07-26"
"6-Piece Silicone Spatula Set","6-piece-silicone-spatula-set","DRAFT","no","H2_CONFIRMED_UNMAPPED","BLOCKED_SUPPLIER_MAPPING","1","1","1","1","CONFIRMED_UNMAPPED_KEEP_EXCLUDED","Keep Draft and excluded. Archive if unwanted, or deliberately import/map a verified supplier before quoting.","2026-07-26"
"Custom Neon Sign","custom-neon-sign","DRAFT","no","H2_CONFIRMED_UNMAPPED","BLOCKED_SUPPLIER_MAPPING","1","1","1","1","CONFIRMED_UNMAPPED_KEEP_EXCLUDED","Keep Draft and excluded. Archive if unwanted, or deliberately import/map a verified supplier before quoting.","2026-07-26"
"Portable Mini Bag Sealer — Handheld Heat Sealer","portable-mini-bag-sealer-handheld-heat-sealer","DRAFT","no","H2_CONFIRMED_UNMAPPED","BLOCKED_SUPPLIER_MAPPING","1","1","1","1","CONFIRMED_UNMAPPED_KEEP_EXCLUDED","Keep Draft and excluded. Archive if unwanted, or deliberately import/map a verified supplier before quoting.","2026-07-26"
"RGB LED Strip Lights 5m-30m with APP Control","rgb-led-strip-lights-5m-30m-with-app-control","DRAFT","no","H1_RISK_HOLD","BLOCKED_CONTENT_COMPLIANCE_EVIDENCE","1","1","1","1","HOLD_RISK_REVIEW","Keep held until safety/claims/IP/compliance review is complete.","2026-07-26"
"1:16 Remote-Control Monster Truck","rc-monster-truck-1-16-scale-remote-control-car-2-4ghz-alloy-shell-20km-h-fast-off-road-rc-car-led-led-headlight-toy-gift-for-kid","DRAFT","no","H1_RISK_HOLD","BLOCKED_CONTENT_COMPLIANCE_EVIDENCE","6","6","6","6","HOLD_RISK_REVIEW","Keep held until safety/claims/IP/compliance review is complete.","2026-07-26"
"Resistance Bands Set - Exercise & Fitness","resistance-bands-set-exercise-fitness","DRAFT","no","H1_RISK_HOLD","BLOCKED_CONTENT_COMPLIANCE_EVIDENCE","1","1","1","1","HOLD_RISK_REVIEW","Keep held until safety/claims/IP/compliance review is complete.","2026-07-26"
"Head Back Protector Baby Protect Pillow Learn Walk Head","head-back-protector-baby-protect-pillow-learn-walk-head-protector-cushion-anti-fall-backward-cap-carry-cartoon-kids-safe-bibi","DRAFT","no","H1_RISK_HOLD","BLOCKED_CONTENT_COMPLIANCE_EVIDENCE","1","1","1","1","HOLD_RISK_REVIEW","Keep held until safety/claims/IP/compliance review is complete.","2026-07-26"
"21 Heated Vest Zones Electric Heated Jackets Men Women Sportswear Heated Coat Graphene Heat Coat USB Heating Jacket For Camping","21-heated-vest-zones-electric-heated-jackets-men-women-sportswear-heated-coat-graphene-heat-coat-usb-heating-jacket-for-camping","DRAFT","no","H1_RISK_HOLD","BLOCKED_CONTENT_COMPLIANCE_EVIDENCE","32","32","32","32","HOLD_RISK_REVIEW","Keep held until safety/claims/IP/compliance review is complete.","2026-07-26"
"Baby Music Activity Gym Rug Play Mat Newborn Carpet Pedal","baby-music-activity-gym-rug-play-mat-newborn-carpet-pedal-piano-keyboard-infant-fitness-rack-playmat-crawling-game-pad-toys-gift","DRAFT","no","H1_RISK_HOLD","BLOCKED_CONTENT_COMPLIANCE_EVIDENCE","14","14","14","14","HOLD_RISK_REVIEW","Keep held until safety/claims/IP/compliance review is complete.","2026-07-26"
"ZWN 2.4G Remote Control Excavator Dump Truck RC Model Car Toy Professional Alloy Plastic Simulation Construction Vehicle for Kid","zwn-2-4g-remote-control-excavator-dump-truck-rc-model-car-toy-professional-alloy-plastic-simulation-construction-vehicle-for-kid","DRAFT","no","H1_RISK_HOLD","BLOCKED_CONTENT_COMPLIANCE_EVIDENCE","6","6","6","6","HOLD_RISK_REVIEW","Keep held until safety/claims/IP/compliance review is complete.","2026-07-26"
"1:64 RC Construction Vehicle Set","1-64-bluetooth-remote-control-crane-and-forklift-two-in-one-desktop-mini-alloy-toy-car-with-trailer-christmas-gift-in-color-box","DRAFT","no","H1_RISK_HOLD","BLOCKED_CONTENT_COMPLIANCE_EVIDENCE","6","6","6","6","HOLD_RISK_REVIEW","Keep held until safety/claims/IP/compliance review is complete.","2026-07-26"
"Bath Toy Storage Mesh","baby-shower-bath-toys-white-baby-kids-toy-storage-mesh-with-strong-suction-cups-toy-bag-net-bathroom-organizer-for-kids-toddlers","DRAFT","no","H1_RISK_HOLD","BLOCKED_CONTENT_COMPLIANCE_EVIDENCE","4","4","0","4","HOLD_RISK_REVIEW","Drafted on 2026-07-26; keep excluded until safety/claims/IP/compliance review is complete.","2026-07-26"
"1PCS Baby Anti-Fall Head Protection Pillow, Breathable Toddler Safety Cushion, Soft Head Guard Pad for Kids Learning to Walk, Sh","1pcs-baby-anti-fall-head-protection-pillow-breathable-toddler-safety-cushion-soft-head-guard-pad-for-kids-learning-to-walk-sh","DRAFT","no","H1_RISK_HOLD","BLOCKED_CONTENT_COMPLIANCE_EVIDENCE","4","4","4","4","HOLD_RISK_REVIEW","Keep held until safety/claims/IP/compliance review is complete.","2026-07-26"
"Pet Supplies Duck Goose Shoes Pet Cole Foot Poultry Boots Pet Duck Boots with Protective Soles Protective Shoe Set Pet Products","pet-supplies-duck-goose-shoes-pet-cole-foot-poultry-boots-pet-duck-boots-with-protective-soles-protective-shoe-set-pet-products","DRAFT","no","H1_RISK_HOLD","BLOCKED_CONTENT_COMPLIANCE_EVIDENCE","9","9","9","9","HOLD_CONTENT_COMPLIANCE_REVIEW","Species-specific sizing, material, supervision, and welfare/safe-use evidence before reconsideration.","2026-07-26"
"Hand-Controlled Mini RC Drone","watch-wrist-hand-controlled-induction-rc-drone-mini-rechargeable-helicopter-with-led-lights","DRAFT","no","H1_RISK_HOLD","BLOCKED_CONTENT_COMPLIANCE_EVIDENCE","3","3","3","3","HOLD_RISK_REVIEW","Keep held until safety/claims/IP/compliance review is complete.","2026-07-26"
"Baby head pillow anti-fall device Head protective pad summer anti-bump head learning to walk baby four seasons toddler hat","baby-head-pillow-anti-fall-device-head-protective-pad-summer-anti-bump-head-learning-to-walk-baby-four-seasons-toddler-hat","DRAFT","no","H1_RISK_HOLD","BLOCKED_CONTENT_COMPLIANCE_EVIDENCE","4","4","4","4","HOLD_RISK_REVIEW","Keep held until safety/claims/IP/compliance review is complete.","2026-07-26"
"Solar Fairy String Lights for Outdoor Decor","crystal-waterdrop-led-string-lights-solar-battery-usb-waterproof-outdoor-garden-decor","DRAFT","no","H1_RISK_HOLD","BLOCKED_CONTENT_COMPLIANCE_EVIDENCE","11","11","0","11","HOLD_RISK_REVIEW","Keep held until safety/claims/IP/compliance review is complete.","2026-07-26"
"15cm Women's Rabbit Fur Keychain Bag Car Pendant Jewelry Decoration Fashionable Accessory for Bags And Gifts","15cm-womens-rabbit-fur-keychain-bag-car-pendant-jewelry-decoration-fashionable-accessory-for-bags-and-gifts","DRAFT","no","H1_RISK_HOLD","BLOCKED_CONTENT_COMPLIANCE_EVIDENCE","11","11","11","11","HOLD_CONTENT_COMPLIANCE_REVIEW","Verified material/species origin, lawful sourcing/import evidence, and accurate disclosure; otherwise reject.","2026-07-26"
"Summer Men's MJ Michael Jackson Printed 100%CottonNeutral","summer-mens-mj-michael-jackson-printed-100-cottonneutral-o-neck-short-sleeve-mens-and-womens-fashion-hip-hop-t-shirt-fan-gift","DRAFT","no","H1_RISK_HOLD","BLOCKED_CONTENT_COMPLIANCE_EVIDENCE","7","7","7","7","HOLD_CONTENT_COMPLIANCE_REVIEW","Documented authorization or licensed supplier provenance; otherwise reject.","2026-07-26"
"Women Fake Piercing Nose Ring Hoop Septum Piercing Nose Clip Rock HipHoop Stainless Steel Magnet Fashion Body Jewelry Wholesale","women-fake-piercing-nose-ring-hoop-septum-piercing-nose-clip-rock-hiphoop-stainless-steel-magnet-fashion-body-jewelry-wholesale","DRAFT","no","H1_RISK_HOLD","BLOCKED_CONTENT_COMPLIANCE_EVIDENCE","5","5","5","5","HOLD_CONTENT_COMPLIANCE_REVIEW","Material composition, nickel/heavy-metal compliance evidence, and cleaned customer-facing content.","2026-07-26"
"2023 Fashion Men Watches Luxury Brand Fashion Mens Quartz Watch Luminous Hands Male Clock Big Dial Waterproof Man Wristwatch","2023-fashion-men-watches-luxury-brand-fashion-mens-quartz-watch-luminous-hands-male-clock-big-dial-waterproof-man-wristwatch","DRAFT","no","H1_RISK_HOLD","BLOCKED_CONTENT_COMPLIANCE_EVIDENCE","9","9","9","9","HOLD_CONTENT_COMPLIANCE_REVIEW","Keep Draft; remove or substantiate waterproof/luminous/brand claims, verify battery/material specifications and labeling, then reconsider for quoting.","2026-07-26"
"Nail Glue Phototherapy Pen UV Gel Brush Pen Acrylic Nail Art Painting Drawing Liner Brush Manicure Professionnel Brushes Tool","nail-glue-phototherapy-pen-uv-gel-brush-pen-acrylic-nail-art-painting-drawing-liner-brush-manicure-professionnel-brushes-tool","DRAFT","no","H1_RISK_HOLD","BLOCKED_CONTENT_COMPLIANCE_EVIDENCE","2","2","2","2","HOLD_CONTENT_COMPLIANCE_REVIEW","Supplier ingredient/SDS and compliant labeling evidence, or confirmed non-chemical brush-only mapping.","2026-07-26"
"9 Heated Vest Zones Electric Heated Jackets Men Women","9-heated-vest-zones-electric-heated-jackets-men-women-sportswear-heated-coat-graphene-heat-coat-usb-heating-jacket-for-camping","DRAFT","no","H1_RISK_HOLD","BLOCKED_CONTENT_COMPLIANCE_EVIDENCE","12","12","12","12","HOLD_RISK_REVIEW","Keep held until safety/claims/IP/compliance review is complete.","2026-07-26"
"Cute Duck Night Light","cute-duck-night-light","DRAFT","no","H1_RISK_HOLD","BLOCKED_CONTENT_COMPLIANCE_EVIDENCE","1","1","1","1","HOLD_RISK_REVIEW","Keep held until safety/claims/IP/compliance review is complete.","2026-07-26"
"USB Heated Cushion 43x43cm Electric Blanket","usb-heated-cushion-43x43cm-electric-blanket","ARCHIVED","no","H1_RISK_HOLD","BLOCKED_CONTENT_COMPLIANCE_EVIDENCE","1","1","1","1","HOLD_RISK_REVIEW","Keep held until safety/claims/IP/compliance review is complete.","2026-07-26"
"New Heated Rivalry Hockey Jersey Long Sleeves Tee Men's","new-heated-rivalry-hockey-jersey-long-sleeves-tee-mens-womens-rozanov-hollander-t-shirt-unisex-tops-pullovers","DRAFT","no","H5_CONFIRMED_CONTENT_COMPLIANCE_REJECT","RESOLVED_COMPLIANCE_REJECT","21","21","21","21","REJECT_CONTENT_COMPLIANCE","Keep Draft and excluded; reconsider only with documented licensed supplier provenance.","2026-07-26"
"Halloween Elsa Dress for Girls Children Party Princess Costume Kids Disguise with Long Cloak Girl Snow Queen Carnival Clothes","halloween-elsa-dress-for-girls-children-party-princess-costume-kids-disguise-with-long-cloak-girl-snow-queen-carnival-clothes","DRAFT","no","H5_CONFIRMED_CONTENT_COMPLIANCE_REJECT","RESOLVED_COMPLIANCE_REJECT","29","29","29","29","REJECT_CONTENT_COMPLIANCE","Keep Draft and excluded; reconsider only with documented licensed supplier provenance and children's apparel compliance evidence.","2026-07-26"
"1-20Packs 100Pcs/Pack Wooden Sticks Baby Cotton Swabs Cleaning of Ears Tampons Health Beauty Cotton Swab Cleaning Cotton Buds","1-20packs-100pcs-pack-wooden-sticks-baby-cotton-swabs-cleaning-of-ears-tampons-health-beauty-cotton-swab-cleaning-cotton-buds","DRAFT","no","H5_CONFIRMED_CONTENT_COMPLIANCE_REJECT","RESOLVED_COMPLIANCE_REJECT","13","13","13","13","REJECT_CONTENT_COMPLIANCE","Keep Draft and excluded; reconsider only with complete supplier compliance documentation and legally reviewed claims.","2026-07-26"
